Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.67.142-192.168.123.176-443-60860-17,192.168.123.176,60860,142.250.67.142,443,17,15/04/2025 05:12:31 PM,24625202,17,10,10563.0,4214.0,1250.0,33.0,621.3529411764705,561.6915235670366,1243.0,33.0,421.4,459.07326938808654,600.0762958208423,1.0964377063790176,947123.1538461539,2501568.536474133,8191214.0,22.0,2.4625069E7,1539066.8125,3075993.394603099,8191214.0,22.0,1.6413508E7,1823723.111111111,3407303.8671848173,8053125.0,748.0,0,0,0,0,136,80,0.6903496669793815,0.40608803939963617,33.0,1250.0,572.1428571428572,532.7477141988758,283820.126984127,0,0,0,0,0,0,0,0,0.0,593.3333333333334,621.3529411764706,421.4,0,0,0,0,0,0,17,10563,10,4214,-1,-1,17,0,485217.6666666667,240559.00208957747,695999.0,223152.0,7723150.666666667,405359.30806302367,8191214.0,7487194.0,No Label
192.168.123.176-192.168.123.114-60627-53-17,192.168.123.176,60627,192.168.123.114,53,17,15/04/2025 05:12:38 PM,362733,0,2,0.0,284.0,0,0,0,0,236.0,48.0,142.0,132.93607486307093,782.945031193743,5.513697402772838,362733.0,0.0,362733.0,362733.0,0,0,0,0,0,362733.0,362733.0,0.0,362733.0,362733.0,0,0,0,0,0,16,0.0,5.513697402772838,48.0,236.0,110.66666666666666,108.54185060764964,11781.333333333332,0,0,0,0,0,0,0,0,0.0,166.0,0.0,142.0,0,0,0,0,0,0,0,0,2,284,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.250.183.206-192.168.123.176-443-62955-6,192.168.123.176,62955,142.250.183.206,443,6,15/04/2025 05:12:55 PM,276104,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.24364732129922,276104.0,0.0,276104.0,276104.0,0,0,0,0,0,276104.0,276104.0,0.0,276104.0,276104.0,0,0,0,0,0,52,0.0,7.24364732129922,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,1016,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-50298-53-17,192.168.123.176,50298,192.168.123.114,53,17,15/04/2025 05:12:30 PM,226431,0,2,0.0,204.0,0,0,0,0,158.0,46.0,102.0,79.19595949289332,900.936709196179,8.832712835256658,226431.0,0.0,226431.0,226431.0,0,0,0,0,0,226431.0,226431.0,0.0,226431.0,226431.0,0,0,0,0,0,16,0.0,8.832712835256658,46.0,158.0,83.33333333333334,64.66323014923809,4181.333333333334,0,0,0,0,0,0,0,0,0.0,125.0,0.0,102.0,0,0,0,0,0,0,0,0,2,204,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.250.67.238-192.168.123.176-443-62962-6,192.168.123.176,62962,142.250.67.238,443,6,15/04/2025 05:12:55 PM,422268,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.736328587532089,422268.0,0.0,422268.0,422268.0,0,0,0,0,0,422268.0,422268.0,0.0,422268.0,422268.0,0,0,0,0,0,52,0.0,4.736328587532089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,1038,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-49993-53-17,192.168.123.176,49993,192.168.123.114,53,17,15/04/2025 05:12:30 PM,574628,1,3,34.0,594.0,34.0,34.0,34.0,0.0,298.0,36.0,198.0,141.57683426323672,1092.8809595077162,6.961025219794371,191542.66666666666,113867.27245496545,275342.0,61899.0,0,0,0,0,0,574628.0,287314.0,16930.964768730693,299286.0,275342.0,0,0,0,0,8,24,1.7402563049485928,5.220768914845778,34.0,298.0,132.8,134.13873415236927,17993.2,0,0,0,0,0,0,0,0,3.0,166.0,34.0,198.0,0,0,0,0,0,0,1,34,3,594,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-63013-53-6,192.168.123.114,53,192.168.123.176,63013,6,15/04/2025 05:12:32 PM,264,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7575.757575757575,264.0,0.0,264.0,264.0,0,0,0,0,0,264.0,264.0,0.0,264.0,264.0,0,0,0,0,0,40,0.0,7575.757575757575,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-116.248.0.20-0-0-0,134.221.96.0,0,116.248.0.20,0,0,15/04/2025 05:12:32 PM,217809,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.773535528834897,108904.5,153933.61073040546,217752.0,57.0,217752.0,217752.0,0.0,217752.0,217752.0,0,0,0,0,0,0,0,0,0,0,0,9.182357019223264,4.591178509611632,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.8-28.93.0.20-0-0-0,134.221.96.8,0,28.93.0.20,0,0,15/04/2025 05:12:32 PM,217742,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.777773695474462,108871.0,153483.18371078963,217400.0,342.0,217400.0,217400.0,0.0,217400.0,217400.0,0,0,0,0,0,0,0,0,0,0,0,9.18518246364964,4.59259123182482,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-64757-53-17,192.168.123.176,64757,192.168.123.114,53,17,15/04/2025 05:12:30 PM,226095,0,2,0.0,293.0,0,0,0,0,247.0,46.0,146.5,142.12846301849606,1295.9154337778368,8.845839138415268,226095.0,0.0,226095.0,226095.0,0,0,0,0,0,226095.0,226095.0,0.0,226095.0,226095.0,0,0,0,0,0,16,0.0,8.845839138415268,46.0,247.0,113.0,116.04740410711477,13467.0,0,0,0,0,0,0,0,0,0.0,169.5,0.0,146.5,0,0,0,0,0,0,0,0,2,293,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
