Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.123.176-192.168.123.114-50110-53-6,192.168.123.114,53,192.168.123.176,50110,6,17/04/2025 08:57:26 AM,59,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33898.30508474576,59.0,0.0,59.0,59.0,0,0,0,0,0,59.0,59.0,0.0,59.0,59.0,0,0,0,0,0,40,0.0,33898.30508474576,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-224.0.0.251-5353-5353-17,192.168.123.176,5353,224.0.0.251,5353,17,17/04/2025 08:57:06 AM,791173,5,1,891.0,280.0,401.0,51.0,178.2,175.63940332396942,280.0,280.0,280.0,0.0,1480.0808419903105,7.583676389361113,158234.6,143246.31163244657,263666.0,1147.0,789682.0,197420.5,130852.75186126835,263666.0,1147.0,0,0,0,0,0,0,0,0,0,40,8,6.319730324467594,1.2639460648935188,51.0,401.0,207.28571428571428,151.76815024428356,23033.57142857143,0,0,0,0,0,0,0,0,0.0,241.83333333333334,178.2,280.0,0,0,0,0,0,0,5,891,1,280,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-18.233.40.224-50114-443-6,192.168.123.176,50114,18.233.40.224,443,6,17/04/2025 08:57:27 AM,2218478,5,8,51.0,225.0,51.0,0.0,10.2,22.807893370497855,156.0,0.0,28.125,57.03241559474251,124.4096177649722,5.859873300524052,184873.16666666666,306773.93786536733,1002680.0,0.0,1215798.0,303949.5,182708.52518971302,494171.0,58199.0,2173502.0,310500.28571428574,477883.1904844231,1302389.0,0.0,0,0,0,0,124,196,2.2537974232784816,3.606075877245571,0.0,156.0,19.714285714285715,44.94172050287173,2019.7582417582414,0,1,0,0,0,0,0,0,1.0,21.23076923076923,10.2,28.125,0,0,0,0,0,0,5,51,8,225,-1,186,1,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-18.233.40.224-50113-443-6,192.168.123.176,50113,18.233.40.224,443,6,17/04/2025 08:57:26 AM,1493508,10,15,1786.0,6099.0,1141.0,0.0,178.6,358.3831593265633,1360.0,0.0,406.6,603.8362833938163,5279.5164137051825,16.739113550111547,62229.5,142706.15189018426,531795.0,0.0,898059.0,99784.33333333333,192202.66111321145,532124.0,53.0,1493508.0,106679.14285714284,181423.9162042896,532041.0,0.0,0,0,0,0,200,324,6.695645420044619,10.043468130066929,0.0,1360.0,303.26923076923083,516.4555010989665,266726.2846153846,0,1,0,0,0,0,0,0,1.0,315.4,178.6,406.6,0,0,0,0,0,0,10,1786,15,6099,-1,267,5,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-18.233.40.224-0-0-0,192.168.123.176,0,18.233.40.224,0,0,17/04/2025 08:57:27 AM,1260276,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5869539688131806,1260276.0,0.0,1260276.0,1260276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7934769844065903,0.7934769844065903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-50111-53-6,192.168.123.114,53,192.168.123.176,50111,6,17/04/2025 08:57:26 AM,77,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25974.025974025975,77.0,0.0,77.0,77.0,0,0,0,0,0,77.0,77.0,0.0,77.0,77.0,0,0,0,0,0,40,0.0,25974.025974025975,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
157.240.239.61-192.168.123.176-443-53408-6,157.240.239.61,443,192.168.123.176,53408,6,17/04/2025 08:57:05 AM,25066584,3,3,255.0,194.0,255.0,0.0,85.0,147.22431864335456,77.0,46.0,64.66666666666667,16.441816606851365,17.91229311500921,0.23936249151459968,5013316.8,1.1104048687649662E7,2.4876725E7,3999.0,2.4973726E7,1.2486863E7,1.752191087633104E7,2.4876725E7,97001.0,2.4984524E7,1.2492262E7,1.7661070905082114E7,2.4980525E7,3999.0,0,1,0,0,60,60,0.11968124575729984,0.11968124575729984,0.0,255.0,75.14285714285715,86.13444640295111,7419.142857142858,0,0,0,1,1,0,0,0,1.0,87.66666666666667,85.0,64.66666666666667,0,0,0,0,0,0,3,255,3,194,-1,252,1,0,92858.0,0.0,92858.0,92858.0,2.4876725E7,0.0,2.4876725E7,2.4876725E7,No Label
192.168.123.176-52.187.79.109-53396-443-6,192.168.123.176,53396,52.187.79.109,443,6,17/04/2025 08:57:31 AM,164084,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,6.09443943346091,12.18887886692182,164084.0,0.0,164084.0,164084.0,0,0,0,0,0,164084.0,164084.0,0.0,164084.0,164084.0,0,0,0,0,0,52,0.0,12.18887886692182,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-13.86.221.35-53360-8883-6,192.168.123.176,53360,13.86.221.35,8883,6,17/04/2025 08:57:13 AM,404712,1,2,0.0,62.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,153.19535867481073,7.412678645555357,202356.0,218248.5080132279,356681.0,48031.0,0,0,0,0,0,356681.0,356681.0,0.0,356681.0,356681.0,0,1,0,0,20,40,2.470892881851786,4.941785763703572,0.0,31.0,23.25,15.5,240.25,0,0,0,1,1,0,0,0,2.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,2,62,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-50112-53-6,192.168.123.114,53,192.168.123.176,50112,6,17/04/2025 08:57:26 AM,102,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19607.843137254902,102.0,0.0,102.0,102.0,0,0,0,0,0,102.0,102.0,0.0,102.0,102.0,0,0,0,0,0,40,0.0,19607.843137254902,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
